Search-Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Avg. Search Depth
Enter Search Term(s),1060,1.11,95.00%,3.30%,9.75,0.11
Search,369,1.22,40.92%,19.56%,118.01,1.99
logon,134,1.27,19.40%,19.41%,321.89,6.52
Enter keyword(s),107,1.21,41.12%,38.76%,57.08,0.93
parking,106,1.27,16.04%,14.81%,248.25,2.86
volunteer,101,1.64,27.72%,2.41%,175.53,2.73
jobs,96,1.36,13.54%,15.27%,176.80,2.56
SEARCH...,93,1.48,5.38%,24.64%,205.56,3.01
Parking,74,1.15,22.97%,5.88%,111.85,2.19
renew library card,65,1.28,24.62%,19.28%,112.83,1.43
Jobs,56,1.48,23.21%,15.66%,128.77,2.14
Volleyball,56,1.43,14.29%,7.50%,153.09,4.07
pool,55,1.55,34.55%,16.47%,126.18,1.49
renew,55,1.04,0.00%,21.05%,90.04,1.82
permit,51,1.51,7.84%,23.38%,135.71,2.90
Pool,47,1.53,44.68%,11.11%,64.40,0.98
summer camp,46,1.91,19.57%,9.09%,413.89,5.11
volleyball,41,1.24,9.76%,3.92%,104.20,4.73
catalog,40,1.93,25.00%,9.09%,87.33,2.63
tennis,40,1.30,22.50%,1.92%,189.63,4.23
Renew,39,1.44,23.08%,14.29%,112.13,1.97
swimming,39,1.18,7.69%,23.91%,220.54,3.33
Volunteer,39,2.23,15.38%,3.45%,150.64,2.44
basketball,38,2.11,15.79%,7.50%,195.50,2.95
Catalog,37,1.89,16.22%,4.29%,82.57,3.57
Renew library card,37,1.38,32.43%,15.69%,43.38,0.95
permits,36,2.06,0.00%,12.16%,538.28,8.14
print,36,1.08,2.78%,7.69%,140.86,1.58
Tennis,36,1.17,38.89%,9.52%,132.00,2.33
staff,35,1.94,11.43%,20.59%,149.11,3.91
beudo,34,1.47,5.88%,6.00%,365.82,3.85
covid,34,1.18,23.53%,17.50%,274.85,2.71
parking consideration,33,1.91,9.09%,4.76%,149.06,2.39
employment,32,1.22,28.13%,23.08%,75.03,1.56
museum pass,31,1.06,3.23%,0.00%,188.35,1.74
Basketball,29,2.45,13.79%,12.68%,203.07,1.90
certificate of occupancy,29,1.48,3.45%,16.28%,260.66,4.48
summer,29,1.90,17.24%,30.91%,283.90,2.69
Summer camp,29,1.48,44.83%,6.98%,132.90,1.66
kanopy,28,1.86,17.86%,7.69%,200.14,2.96
Museum pass,28,1.46,10.71%,4.88%,89.57,1.75
renew card,28,1.29,28.57%,22.22%,48.14,0.96
lottery,27,1.89,7.41%,5.88%,369.19,3.78
careers,26,1.42,19.23%,16.22%,81.92,1.54
Employment,26,1.65,11.54%,9.30%,119.81,2.31
